County,Precinct Name,Location Name,Address,City,State,Zip,Lat,Lng,Accuracy Score,VANPCTCODE
Cedar,LINN/PIONEER,MECHANICSVILLE MEMORIAL BUILDING,102 N. JOHN ST.,MECHANICSVILLE,IA,52306,41.90461,-91.2543,1,946751
Cedar,MASSILLON/SPRINGFIELD,"NORTH CEDAR ELEMENTARY, CAFETERIA",703 PARK AVE.,LOWDEN,IA,52255,41.85654,-90.9665,0.33,946752
Cedar,TIPTON 1,"TIPTON HIGH SCHOOL, LIFE SKILLS ROOM",400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946753
Cedar,TIPTON 2,"TIPTON HIGH SCHOOL, 1925 GYM",400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946754
Cedar,TIPTON 3,"TIPTON HIGH SCHOOL, AUDITORIUM",400 E. 6TH ST.,TIPTON,IA,52772,41.7712,-91.1244,1,946755
Cedar,WEST BRANCH 1,"WEST BRANCH HIGH SCHOOL, GYM",900 W. MAIN ST.,WEST BRANCH,IA,52358,41.67144,-91.3614,0.9,1593442
Cerro Gordo,Clear Lake - Grant - Union,VENTURA COMMUNITY HALL,4 N WEIMER ST,VENTURA,IA,50482,43.12621,-93.4793,0.8,946756
Cerro Gordo,Clear Lake - Ward 1,"CLEAR CREEK ELEMENTARY, SMALL LUNCHROOM",901 S 14TH ST,CLEAR LAKE,IA,50401,43.13843,-93.1812,0.9,946757
Cerro Gordo,Clear Lake - Ward 2,"CLEAR CREEK ELEMENTARY SCHOOL, GYM",901 S 14TH ST,CLEAR LAKE,IA,50428,43.12731,-93.3712,1,946758
Cerro Gordo,Clear Lake - Ward 3,"CLEAR CREEK ELEMENTARY SCHOOL, LARGE LUNCHROOM",901 S 14TH ST,CLEAR LAKE,IA,50428,43.12731,-93.3712,1,946759
Cerro Gordo,Falls - Plymouth Pct,PLYMOUTH TOWN HALL,616 BROAD ST,PLYMOUTH,IA,50464,43.24523,-93.1237,1,946761
