County,Precinct,Combined,Precinct ID,Delegates,Commit Goal,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold,Precinct Captains,MSQ Yang Support -1's,MSQ Yang Support - 2's,Total Support,298 Turnout
Benton,Br,Benton Br,946579,5,7,6,2,0,0.00%,7,0,0,0,0,36
Benton,Ed,Benton Ed,946580,10,18,15,7,0,0.00%,18,0,1,0,1,95
Benton,El,Benton El,946581,10,13,10,4,0,0.00%,13,0,1,4,5,64
Benton,Fl,Benton Fl,946582,12,14,11,5,0,0.00%,14,0,1,2,3,70
Benton,Fr,Benton Fr,946583,22,35,27,12,0,0.00%,35,0,2,4,6,178
Benton,Ho,Benton Ho,946584,6,9,7,3,0,0.00%,9,0,0,1,1,44
Benton,Ia,Benton Ia,946585,10,16,12,5,2,16.70%,14,0,0,4,6,77
Benton,Ka,Benton Ka,946586,6,9,7,3,0,0.00%,9,0,0,1,1,44
Benton,Po,Benton Po,946587,20,49,38,17,0,0.00%,49,0,2,3,5,248
Benton,Vt1,Benton Vt1,946588,12,23,18,8,0,0.00%,23,0,1,4,5,116
Benton,Vt2,Benton Vt2,946589,8,15,12,5,1,8.30%,14,0,0,3,4,73
Benton,Vt3,Benton Vt3,946590,11,22,17,7,1,5.90%,21,0,0,2,3,108
Benton,Vt4,Benton Vt4,946591,10,15,11,5,0,0.00%,15,0,0,2,2,70
Benton,Wa,Benton Wa,946592,10,11,9,4,0,0.00%,11,0,3,1,4,57
Black Hawk,Aloo,Black Hawk Aloo,1593422,5,18,13,6,1,7.70%,17,0,3,7,11,86
Black Hawk,B000,Black Hawk B000,946594,1,4,3,1,0,0.00%,4,0,1,1,2,20
Black Hawk,C000,Black Hawk C000,1593423,8,32,24,11,0,0.00%,32,0,5,0,5,158
Black Hawk,Dk00,Black Hawk Dk00,1593424,7,26,21,9,0,0.00%,26,0,1,4,5,135
Black Hawk,Dm00,Black Hawk Dm00,1593425,10,37,28,13,2,7.10%,35,1,6,22,30,181
Black Hawk,Eo00,Black Hawk Eo00,1593426,7,21,16,7,0,0.00%,21,0,0,7,7,106
Black Hawk,G000,Black Hawk G000,1593427,1,6,5,2,0,0.00%,6,0,0,1,1,28
Black Hawk,J100,Black Hawk J100,946600,4,15,12,5,0,0.00%,15,0,0,1,1,77
Black Hawk,J200,Black Hawk J200,946601,3,17,13,8,0,0.00%,17,0,0,1,1,83
Black Hawk,J300,Black Hawk J300,946602,4,11,9,4,0,0.00%,11,0,2,4,6,59
Black Hawk,J400,Black Hawk J400,946603,4,17,14,6,0,0.00%,17,0,0,6,6,88
Black Hawk,N000,Black Hawk N000,946606,4,14,11,5,0,0.00%,14,0,0,1,1,70
Black Hawk,Ph01,Black Hawk Ph01,946607,3,10,8,5,0,0.00%,10,0,1,3,4,51
Black Hawk,Pk02,Black Hawk Pk02,946608,7,21,17,8,0,0.00%,21,0,1,7,8,109
Black Hawk,Q000,Black Hawk Q000,1593428,1,1,1,0,0,0.00%,1,0,0,0,0,5
Black Hawk,R000,Black Hawk R000,946609,3,15,12,7,0,0.00%,15,0,1,3,4,73
Black Hawk,S000,Black Hawk S000,946610,2,10,8,10,0,0.00%,10,0,0,2,2,51
Black Hawk,W101,Black Hawk W101,946611,10,57,43,19,2,4.70%,55,0,1,12,15,281
Black Hawk,W102,Black Hawk W102,946612,9,35,26,12,0,0.00%,35,0,4,6,10,171
Black Hawk,W103,Black Hawk W103,946613,8,34,25,12,1,4.00%,33,0,0,13,14,166
Black Hawk,W104,Black Hawk W104,946614,9,42,33,15,1,3.00%,41,0,2,9,12,214
Black Hawk,W105,Black Hawk W105,946615,8,28,21,9,0,0.00%,28,0,1,11,12,137
Black Hawk,W106,Black Hawk W106,946616,11,51,39,18,0,0.00%,51,0,2,5,7,256
Black Hawk,W201,Black Hawk W201,946617,6,30,24,11,0,0.00%,30,0,3,5,8,155
Black Hawk,W202,Black Hawk W202,946618,7,23,17,8,0,0.00%,23,0,1,5,6,111
Black Hawk,W203,Black Hawk W203,946619,9,27,21,9,0,0.00%,27,0,2,13,15,137
Black Hawk,W204,Black Hawk W204,946620,14,52,40,18,0,0.00%,52,0,5,5,10,261
Black Hawk,W205,Black Hawk W205,946621,9,35,27,12,3,11.10%,32,0,4,16,23,176
Black Hawk,W206,Black Hawk W206,946622,9,42,32,15,1,3.10%,41,0,2,7,10,212
Black Hawk,W301,Black Hawk W301,946623,8,39,30,14,2,6.70%,37,0,1,12,15,197
Black Hawk,W302,Black Hawk W302,946624,9,40,31,14,0,0.00%,40,0,2,2,4,201
Black Hawk,W303,Black Hawk W303,946625,7,24,18,8,0,0.00%,24,0,2,4,6,119
Black Hawk,W304,Black Hawk W304,946626,7,23,18,8,0,0.00%,23,0,0,4,4,114
Black Hawk,W305,Black Hawk W305,946627,11,47,35,16,2,5.70%,45,1,1,6,9,230
Black Hawk,W306,Black Hawk W306,946628,6,25,19,9,0,0.00%,25,0,1,4,5,124
Black Hawk,W401,Black Hawk W401,946629,10,43,32,15,0,0.00%,43,0,4,5,9,212
Black Hawk,W402,Black Hawk W402,946630,7,28,22,10,0,0.00%,28,0,1,4,5,145
Black Hawk,W403,Black Hawk W403,946631,5,12,9,4,7,77.80%,5,0,1,7,15,59
Black Hawk,W404,Black Hawk W404,946632,7,33,25,11,0,0.00%,33,0,0,5,5,162
Black Hawk,W405,Black Hawk W405,946633,11,44,32,15,0,0.00%,44,0,5,11,16,212
