County ,Precinct ,Combined ,Precinct ID,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support
Pottawattamie,Underw,Pottawattamie Underw,1833335,13,32,24,11,0,0.0%,32,0,1,8,9,5
Pottawattamie,Walnut,Pottawattamie Walnut,1833336,4,11,9,4,0,0.0%,11,0,1,1,2,1.5
Poweshiek,2,Poweshiek 02,947824,11,33,27,12,0,0.0%,33,0,4,28,32,18
Poweshiek,3,Poweshiek 03,947825,2,4,4,4,0,0.0%,4,0,1,3,4,2.5
Poweshiek,4,Poweshiek 04,947826,3,8,7,4,0,0.0%,8,0,2,3,5,3.5
Poweshiek,5,Poweshiek 05,947827,6,22,18,8,8,44.4%,14,0,2,28,38,22
Poweshiek,6,Poweshiek 06,947828,24,91,68,31,10,14.7%,81,3,13,29,52,36.5
Poweshiek,7,Poweshiek 07,947829,17,80,59,27,4,6.8%,76,0,11,29,44,27
Poweshiek,8,Poweshiek 08,947830,12,43,32,15,1,3.1%,42,0,2,11,14,8.5
Poweshiek,9,Poweshiek 09,947831,16,86,66,30,4,6.1%,82,0,4,19,27,17
Poweshiek,10,Poweshiek 10,947832,5,21,16,7,0,0.0%,21,0,1,9,10,5.5
Poweshiek,11,Poweshiek 11,947833,4,21,16,7,3,18.8%,18,1,1,3,7,5.5
Ringgold,At,Ringgold At,947834,9,13,10,4,0,0.0%,13,0,0,0,0,0
Ringgold,Cl,Ringgold Cl,947835,6,13,10,4,0,0.0%,13,0,0,2,2,1
Ringgold,M1,Ringgold M1,947836,22,34,25,11,0,0.0%,34,0,0,2,2,1
Ringgold,M2,Ringgold M2,947837,21,24,18,8,0,0.0%,24,0,0,2,2,1
Ringgold,Tg,Ringgold Tg,947838,3,5,4,2,0,0.0%,5,0,0,0,0,0
Ringgold,Un,Ringgold Un,947839,9,12,10,4,0,0.0%,12,0,0,1,1,0.5
Ringgold,Ws,Ringgold Ws,947840,10,15,11,5,0,0.0%,15,0,0,0,0,0
Sac,1,Sac 01,947841,7,10,8,3,0,0.0%,10,0,1,5,6,3
Sac,2,Sac 02,947842,2,4,3,4,0,0.0%,4,0,0,0,0,0
Sac,3,Sac 03,947843,5,7,6,2,1,16.7%,6,0,0,1,2,1.5
Sac,4,Sac 04,947844,18,30,24,11,1,4.2%,29,2,13,21,35,23
Sac,5,Sac 05,947845,3,5,5,3,0,0.0%,5,0,0,0,0,0
Sac,6,Sac 06,947846,6,8,7,3,0,0.0%,8,0,0,2,2,1
Sac,7,Sac 07,947847,11,24,18,8,0,0.0%,24,0,0,3,3,1.5
Sac,8,Sac 08,947848,3,6,5,3,0,0.0%,6,0,1,2,3,2
Sac,9,Sac 09,947849,5,9,8,3,1,12.5%,8,0,0,5,6,3.5
Scott,Ag,Scott Ag,947850,1,8,6,3,0,0.0%,8,0,0,1,1,0.5
Scott,B11,Scott B11,947851,7,77,59,27,5,8.5%,72,0,7,17,29,17.5
Scott,B12,Scott B12,947852,6,57,44,20,1,2.3%,56,1,6,12,19,12.5
Scott,B21,Scott B21,947853,4,31,25,11,1,4.0%,30,0,5,11,17,10
Scott,B22,Scott B22,947854,6,54,40,18,2,5.0%,52,1,5,10,17,10.5
Scott,B23,Scott B23,947912,1,7,6,3,2,33.3%,5,0,4,5,11,8
Scott,B31,Scott B31,947855,6,49,37,17,4,10.8%,45,3,6,21,31,19.5
Scott,B32,Scott B32,947856,6,54,40,18,2,5.0%,52,0,4,15,21,13.5
Scott,B41,Scott B41,947857,7,57,44,20,0,0.0%,57,0,8,17,25,16
Scott,B42,Scott B42,947858,7,76,57,26,9,15.8%,67,1,4,19,32,21
Scott,B51,Scott B51,947859,7,57,43,20,3,7.0%,54,0,9,20,32,22.5
Scott,B52,Scott B52,947860,10,59,46,21,0,0.0%,59,0,7,20,27,17
Scott,Bf,Scott Bf,947863,1,13,10,4,0,0.0%,13,0,2,1,3,3
Scott,Bg,Scott Bg,947861,4,40,31,14,0,0.0%,40,0,1,9,10,5
Scott,Bu,Scott Bu,947864,5,30,23,10,1,4.3%,29,1,0,8,9,5
Scott,D11,Scott D11,947868,5,50,40,18,1,2.5%,49,0,1,4,6,4
Scott,D12,Scott D12,947869,6,39,30,13,1,3.3%,38,1,3,10,14,9
Scott,D13,Scott D13,947870,6,46,34,15,4,11.8%,42,1,3,16,23,13.5
Scott,D14,Scott D14,947871,5,29,22,10,3,13.6%,26,2,5,18,26,15
Scott,D21,Scott D21,947872,6,35,27,12,1,3.7%,34,0,7,12,20,13
Scott,D22,Scott D22,947873,4,29,23,10,4,17.4%,25,2,2,15,21,12.5
Scott,D23,Scott D23,947874,4,40,29,13,3,10.3%,37,1,6,8,17,11
Scott,D24,Scott D24,947875,6,54,41,19,2,4.9%,52,1,2,12,16,10
Scott,D31,Scott D31,947876,5,39,30,14,1,3.3%,38,0,6,5,12,8.5
Scott,D32,Scott D32,947877,4,28,22,10,2,9.1%,26,0,2,7,11,8
Scott,D33,Scott D33,947878,4,27,21,9,3,14.3%,24,0,5,8,16,11
Scott,D34,Scott D34,947879,5,43,33,15,12,36.4%,31,1,9,25,46,31
Scott,D41,Scott D41,947880,7,51,40,18,1,2.5%,50,0,9,12,22,15.5
Scott,D42,Scott D42,947881,5,37,29,13,0,0.0%,37,0,2,12,14,8
Scott,D43,Scott D43,947882,5,48,36,17,0,0.0%,48,0,3,12,15,8.5
Scott,D44,Scott D44,947883,5,25,20,9,10,50.0%,15,0,14,29,53,37
Scott,D51,Scott D51,947884,7,81,59,27,5,8.5%,76,1,10,24,39,25.5
Scott,D52,Scott D52,947885,6,51,38,17,6,15.8%,45,2,5,15,26,19
Scott,D53,Scott D53,947886,6,55,42,19,2,4.8%,53,1,7,13,22,14
Scott,D54,Scott D54,947887,5,42,31,14,2,6.5%,40,1,6,19,27,16
Scott,D61,Scott D61,947888,6,44,35,16,1,2.9%,43,1,3,17,21,11
Scott,D62,Scott D62,947889,6,60,45,20,5,11.1%,55,0,5,23,33,19.5
Scott,D63,Scott D63,947890,7,60,47,21,7,14.9%,53,0,11,31,49,30.5
Scott,D64,Scott D64,947891,9,141,104,48,0,0.0%,141,0,7,22,29,18
Scott,D71,Scott D71,947892,7,74,56,26,3,5.4%,71,0,3,18,24,13
Scott,D72,Scott D72,947893,7,64,49,22,3,6.1%,61,0,13,27,43,28
Scott,D73,Scott D73,947894,6,51,39,18,12,30.8%,39,1,9,21,42,29.5
Scott,D74,Scott D74,947895,4,24,20,9,3,15.0%,21,0,9,25,37,24
Scott,D81,Scott D81,947896,5,34,27,12,1,3.7%,33,0,3,11,15,9.5
