County ,Precinct ,Combined ,Precinct ID,Region,Delegates,Commit Goal ,Commit Goal - 298,Field Goal,Commits,PTG,Difference to Delegate Threshold ,Precinct Captains,MSQ Yang Support -1's ,MSQ Yang Support - 2's,Total Support,Weighted Support,298 Turnout,2020 Turnout Prediction,True Commit Goal 
Calhoun,Buwm,Calhoun Buwm,948228,2,6,11,10,5,1,10.0%,10,0,0,6,7,3.95,60,69,10
Calhoun,Cedar,Calhoun Cedar,948229,2,1,3,5,2,0,0.0%,3,0,0,0,0,0,31,20,3
Calhoun,Chjeglk,Calhoun Chjeglk,948230,2,15,24,23,12,2,8.7%,22,0,1,9,12,6.3,147,159,24
Calhoun,Cnlgtga,Calhoun Cnlgtga,948231,2,5,9,9,4,0,0.0%,9,0,0,0,0,0,59,56,8
Calhoun,Greenfi,Calhoun Greenfi,948232,2,2,5,5,3,0,0.0%,5,0,0,0,0,0,28,29,4
Calhoun,Lincoln,Calhoun Lincoln,948234,2,10,17,18,8,0,0.0%,17,0,2,3,5,3.3,114,113,17
Calhoun,Reading,Calhoun Reading,948235,2,3,5,5,3,0,0.0%,5,0,0,0,0,0,28,29,4
Calhoun,Rockwel,Calhoun Rockwel,948236,2,13,18,24,9,0,0.0%,18,0,6,5,11,7.4,153,120,18
Calhoun,Sherman,Calhoun Sherman,948237,2,3,7,7,3,0,0.0%,7,0,0,2,2,1,44,42,6
Calhoun,Union,Calhoun Union,948238,2,2,5,6,3,0,0.0%,5,0,1,0,1,0.9,34,33,5
Carroll,1,Carroll 01,946719,2,14,31,28,15,4,14.3%,27,0,3,22,29,17,186,206,31
Carroll,2,Carroll 02,946720,2,18,40,41,19,6,14.6%,34,1,11,23,40,26.1,269,265,40
Carroll,3,Carroll 03,946721,2,13,32,22,15,3,13.6%,29,0,5,12,20,12.35,140,210,32
Carroll,4,Carroll 04,946722,2,13,30,24,14,2,8.3%,28,0,0,16,18,9.4,155,195,29
Carroll,5,Carroll 05,946723,2,4,11,9,6,0,0.0%,11,0,0,2,2,1,54,73,11
Carroll,6,Carroll 06,946724,2,5,13,7,7,0,0.0%,13,0,0,3,3,1.5,46,86,13
Carroll,7,Carroll 07,946725,2,2,7,6,4,0,0.0%,7,0,0,0,0,0,38,45,7
Carroll,8,Carroll 08,946726,2,7,19,16,9,0,0.0%,19,0,0,7,7,3.5,101,126,19
Carroll,9,Carroll 09,946727,2,4,11,8,5,0,0.0%,11,0,2,1,3,2.3,52,67,10
Carroll,10,Carroll 10,946728,2,3,9,7,4,0,0.0%,9,0,0,3,3,1.5,41,55,8
Carroll,11,Carroll 11,946729,2,8,18,21,9,0,0.0%,18,0,2,3,5,3.3,137,118,18
Carroll,12,Carroll 12,946730,2,2,7,5,4,0,0.0%,7,0,0,2,2,1,28,43,6
Carroll,13,Carroll 13,946731,2,7,17,16,8,1,6.3%,16,0,2,1,4,3.75,101,111,17
Cass,An,Cass An,946739,2,6,17,16,8,0,0.0%,17,0,0,0,0,0,103,107,16
Cass,At1,Cass At1,946732,2,4,15,10,7,0,0.0%,15,1,3,6,9,5.2,64,95,14
Cass,At2,Cass At2,946733,2,5,13,9,6,1,11.1%,12,0,2,4,7,3.25,57,83,12
Cass,At3,Cass At3,946734,2,5,16,12,8,0,0.0%,16,0,2,4,6,3.8,75,104,16
Cass,At4,Cass At4,946735,2,6,18,12,9,2,16.7%,16,1,1,1,4,3.3,80,116,17
Cass,At5,Cass At5,946736,2,6,17,16,8,0,0.0%,17,0,0,2,2,1,103,111,17
Cass,Bn,Cass Bn,946737,2,2,5,4,3,0,0.0%,5,0,0,0,0,0,21,31,5
Cass,Cu,Cass Cu,946743,2,1,5,5,2,0,0.0%,5,0,0,0,0,0,29,28,4
Cass,Gs,Cass Gs,946742,2,5,16,11,8,0,0.0%,16,0,1,1,2,1.4,72,104,16
Cass,Lw,Cass Lw,946738,2,3,10,8,5,0,0.0%,10,0,0,0,0,0,52,61,9
Cass,Mr,Cass Mr,946740,2,4,14,7,7,0,0.0%,14,0,0,4,4,2,44,90,14
Cass,Ms,Cass Ms,946741,2,2,5,4,3,0,0.0%,5,0,0,0,0,0,23,33,5
